text,author,reply,retweet,like,date
"Ingat jangan golput ayok datang ke TPS.

#AyoSiapSiapNyoblos",N E Y A V A,0,0,0,2024-02-12T13:48:28.000Z
"Satu suara sangat berharga sekali demi persatuan dan kesatuan bangsa Indonesia.

#AyoSiapSiapNyoblos",Yuli Endah,0,1,1,2024-02-12T14:22:34.000Z
"Siap... Untuk menyukseskan pesta demokrasi.

#AyoSiapSiapNyoblos",Yuli Endah,0,1,1,2024-02-12T13:49:19.000Z
"PKS, partai yang memberikan suara dan menjadi wakil rakyat yang setia dan segar dalam memperjuangkan aspirasi masyarakat.
#Ber1Coblos8uletOren
#Seger8ener
#AyoSiapSiapNyoblos
Kawal Demokrasi Bersama Alam Kalahkan TukangFitnah Pakar Dirty Vote",#Seger8ener #AMINajadulu,0,0,0,2024-02-12T13:49:08.000Z
"PKS, partai yang memperjuangkan nilai-nilai Pancasila dan menjunjung tinggi supremasi hukum.
#Ber1Coblos8uletOren
#Seger8ener

Alam Gejayan Memanggil #AyoSiapSiapNyoblos Lapor Bawaslu #OrdeBaruBangkit  ",Adhy Suryo W,0,0,0,2024-02-12T15:27:26.000Z
"Nyoblos lahhh... Nggak akan golput!!!

#AyoSiapSiapNyoblos",Yuli Endah,0,0,0,2024-02-12T15:14:34.000Z
"Berangkat....
Ikuti aturan yang berlaku #AyoSiapSiapNyoblos",Yuli Endah,0,0,0,2024-02-12T14:03:02.000Z
"Hari yang sangat penting untuk menentukan pilihan yang tepat.

#AyoSiapSiapNyoblos",Yuli Endah,0,0,0,2024-02-12T15:05:47.000Z
"Mari kita gunakan hak suara kita 
#AyoSiapSiapNyoblos ~",Jurus Ular Cobra,0,0,0,2024-02-13T05:25:03.000Z
"Gunakan hak pilih mu, Jangan golput 
#AyoSiapSiapNyoblos",Wizzel,0,0,0,2024-02-13T02:12:54.000Z
"PKS hadir sebagai partai yang mendorong perubahan positif menuju masyarakat yang segar dan sejahtera.
#Ber1Coblos8uletOren
#Seger8ener
#AyoSiapSiapNyoblos
Kawal Demokrasi Bersama Alam Kalahkan TukangFitnah Pakar Dirty Vote",#Seger8ener #AMINajadulu,0,0,0,2024-02-12T13:44:59.000Z
#AyoSiapSiapNyoblos  untuk menjadi warga negara yang baik demi masa depan bangsa Indonesia.,Yuli Endah,0,0,0,2024-02-12T13:48:21.000Z
"Jeki tak berhenti untukterus mengajak masyarakat agar datang ke TPS dan menggunakan hak suaranya pada tanggal 14 Februari 2024.
#AyoSiapSiapNyoblos",Yati,0,0,0,2024-02-12T16:46:28.000Z
"Siap laksanakan pesta demokrasi dengan tidak golput.

#AyoSiapSiapNyoblos",Yuli Endah,0,0,0,2024-02-12T15:20:01.000Z
"Siap berangkat dukung pesta demokrasi dengan suasana aman damai dan lancar.

#AyoSiapSiapNyoblos",Yuli Endah,0,0,0,2024-02-12T13:56:16.000Z
"PKS, partai yang berkomitmen untuk menciptakan lingkungan yang bersih, hijau, dan segar.
#Ber1Coblos8uletOren
#Seger8ener
#AyoSiapSiapNyoblos
Kawal Demokrasi Bersama Alam Kalahkan TukangFitnah Pakar Dirty Vote",#Seger8ener #AMINajadulu,0,0,0,2024-02-12T13:47:03.000Z
"Sukseskan Pemilu Damai aman dan lancar untuk Indonesia.

#AyoSiapSiapNyoblos",Yuli Endah,0,0,0,2024-02-12T13:58:50.000Z
"Siap... Semangat sambut pesta demokrasi di negara ini.

#AyoSiapSiapNyoblos",Yuli Endah,0,0,0,2024-02-12T14:02:05.000Z
"#AyoSiapSiapNyoblos 
Pemilu Damai harapan masyarakat Indonesia tanpa adanya keributan.",Yuli Endah,0,0,0,2024-02-12T14:39:15.000Z
"Gunakan hak pilih sesuai hati nurani demi masa depan bangsa.

#AyoSiapSiapNyoblos",Yuli Endah,0,1,1,2024-02-12T14:21:34.000Z
"Imbauan ayo nyoblos polresta pekanbaru sangat bagus.

#AyoSiapSiapNyoblos",N E Y A V A,0,0,0,2024-02-12T13:41:56.000Z
"PKS hadir sebagai partai yang memperjuangkan hak-hak petani dan nelayan dalam mencapai kesejahteraan yang segar.
#Ber1Coblos8uletOren
#Seger8ener
#AyoSiapSiapNyoblos
Kawal Demokrasi Bersama Alam Kalahkan TukangFitnah Pakar Dirty Vote",#Seger8ener #AMINajadulu,0,0,0,2024-02-12T13:54:25.000Z
"Ini sekaligus menjadi simbol keberagaman demokrasi di Indonesia, di mana setiap warna mewakili suara dan aspirasi yang berbeda dari masyarakat.
#AyoSiapSiapNyoblos",Yati,0,0,0,2024-02-12T16:41:34.000Z
"Adanya 5 warna surat suara ini juga menjadi pengingat bagi setiap warga negara untuk berpartisipasi aktif dalam pemilu.
#AyoSiapSiapNyoblos",Yati,0,0,0,2024-02-12T16:41:53.000Z
"Ayo ke TPS jangan sampai golput lhhhooo... 

#AyoSiapSiapNyoblos",Yuli Endah,0,0,0,2024-02-12T15:02:17.000Z
"Semangat untuk nyoblos jangan mager...

#AyoSiapSiapNyoblos",Yuli Endah,0,0,0,2024-02-12T15:18:16.000Z
"#AyoSiapSiapNyoblos 
Sukseskan Pemilu mendatang dengan suasana aman damai dan lancar untuk Indonesia",Yuli Endah,0,0,0,2024-02-12T15:21:31.000Z
"PKS hadir untuk melindungi hak-hak masyarakat dalam ruang politik yang sehat dan segar.
#Ber1Coblos8uletOren
#Seger8ener
#AyoSiapSiapNyoblos
Kawal Demokrasi Bersama Alam Kalahkan TukangFitnah Pakar Dirty Vote",#Seger8ener #AMINajadulu,0,0,0,2024-02-12T13:46:32.000Z
"Satu suara sangat berharga sekali
Ingat Hari Rabu, 24 Februari 2024 Hari Kasih Suara untuk Indonesia 

#AyoSiapSiapNyoblos",Kel.Cemara,3,6,6,2024-02-12T13:38:55.000Z
"Mari kita gunakan hak suara kita 
#AyoSiapSiapNyoblos ~",Jurus Ular Cobra,0,0,0,2024-02-13T06:09:25.000Z
"Siap laksanakan...
#AyoSiapSiapNyoblos",Yuli Endah,0,0,0,2024-02-12T14:42:51.000Z
"Siap sukseskan Pemilu untuk Indonesia di masa depan 
#AyoSiapSiapNyoblos",Yuli Endah,0,0,0,2024-02-12T15:16:25.000Z
"Kapolresta Pekanbaru Kombes Jeki Rahmat Mustika mengatakan pemasangan spanduk itu bertujuan meningkatkan partisipasi masyarakat dalam Pemilu 2024. 
#AyoSiapSiapNyoblos",Yati,0,0,0,2024-02-12T16:45:36.000Z
"Siapkan yang menjadi ketentuan untuk ikut Nyoblos.

#AyoSiapSiapNyoblos",Yuli Endah,0,0,0,2024-02-12T15:15:35.000Z
"Jangan golput..bijaklah
#14February 
#Pemilu2024 
#AyoSiapSiapNyoblos",Sri Lawu,0,0,0,2024-02-13T13:36:39.000Z
"Ayo jangan sampai kita golput, karena 1 suara kita sangat berharga #AyoSiapSiapNyoblos ",Jurus Ular Cobra,0,0,0,2024-02-13T04:56:44.000Z
"Ayo nyo los, jqn sampe Golput
#AyoSiapSiapNyoblos",Chika,2,5,6,2024-02-12T15:13:28.000Z
"Naah jangan sampai lupa.

#AyoSiapSiapNyoblos",N E Y A V A,0,0,0,2024-02-12T13:53:19.000Z
"Ayooo nyoblos jangan sampai golput.

#AyoSiapSiapNyoblos",N E Y A V A,0,0,0,2024-02-12T13:37:05.000Z
"Ayoo nyoblos datang ke TPS.

#AyoSiapSiapNyoblos",N E Y A V A,0,0,0,2024-02-12T13:42:55.000Z
"Mari kita gunakan hak suara kita 
#AyoSiapSiapNyoblos ~",Jurus Ular Cobra,0,0,0,2024-02-13T06:04:55.000Z
"Lalu, Jeki mengedukasi masyarakat tentang pentingnya menggunakan hak suara.
#AyoSiapSiapNyoblos",Yati,0,0,0,2024-02-12T16:47:34.000Z
"1 suara kita sangat berharga, mari gunakan hak pilih kita #AyoSiapSiapNyoblos ;",Jurus Ular Cobra,0,0,0,2024-02-13T04:53:26.000Z
"PKS, partai yang memperjuangkan pemberdayaan perempuan dalam segala lini kehidupan.
#Ber1Coblos8uletOren
#Seger8ener
#AyoSiapSiapNyoblos
Kawal Demokrasi Bersama Alam Kalahkan TukangFitnah Pakar Dirty Vote",#Seger8ener #AMINajadulu,0,0,0,2024-02-12T13:51:33.000Z
#AyoSiapSiapNyoblos ,Wizzel,0,0,0,2024-02-13T02:08:39.000Z
"Iyaaa dong jangan sampai golput.

#AyoSiapSiapNyoblos",N E Y A V A,0,0,0,2024-02-12T13:50:46.000Z
"Jangan sampai golput, suara kita sangat berharga

#AyoSiapSiapNyoblos",Yuli Endah,0,0,0,2024-02-12T14:44:07.000Z
"Ajak masyarakat ikut berpartisipasi pemilu 2024.

#AyoSiapSiapNyoblos",N E Y A V A,0,0,0,2024-02-12T13:47:54.000Z
"Kenali 5 warna suarat suara pemilu 2024.

#AyoSiapSiapNyoblos",N E Y A V A,0,0,0,2024-02-12T13:50:19.000Z
"Mendekati hari pencoblosan Pemilu 2024, Polresta Pekanbaru terus menciptakan suasana yang aman dan damai.
#AyoSiapSiapNyoblos",Yati,0,0,0,2024-02-12T16:45:04.000Z
"Jangan sampai masyarakat tidak menggunakan hak pilihnya.

#AyoSiapSiapNyoblos",N E Y A V A,0,0,0,2024-02-12T13:38:25.000Z
"Ayo kita ke TPS 14 Februari 2024!!
#AyoSiapSiapNyoblos",Wizzel,0,0,1,2024-02-13T02:09:49.000Z
"PKS bukan sekadar partai politik, tapi juga gerakan kebangkitan moral bangsa.
#Ber1Coblos8uletOren
#Seger8ener

Alam Gejayan Memanggil #AyoSiapSiapNyoblos Lapor Bawaslu #OrdeBaruBangkit",#Seger8ener #AMINajadulu,0,0,0,2024-02-12T15:19:48.000Z
"Rugi kalau nggak nyoblos, satu suara sangat berharga sekali

#AyoSiapSiapNyoblos",Yuli Endah,0,1,1,2024-02-12T13:50:25.000Z
"Siap.. sukseskan pesta demokrasi lima tahunan dengan suasana aman damai dan lancar.

#AyoSiapSiapNyoblos",Yuli Endah,0,0,0,2024-02-12T14:18:11.000Z
"Salah satunya dengan memasang spanduk ajakan untuk menggunakan hak suara di sejumlah tempat.
#AyoSiapSiapNyoblos",Yati,0,1,0,2024-02-12T16:45:20.000Z
"Jangan lupa ya, besok 14 Februari 2024 datang ke TPS untuk mencoblos #AyoSiapSiapNyoblos '",Jurus Ular Cobra,0,0,0,2024-02-13T04:56:04.000Z
"Dukung banget imbauan ayooo nyoblos.

#AyoSiapSiapNyoblos",N E Y A V A,0,0,0,2024-02-12T13:45:15.000Z
"Datangke TPS dan gunakan hak suara kita.

#AyoSiapSiapNyoblos",N E Y A V A,0,0,0,2024-02-12T13:59:52.000Z
"Kenali 5 warna surat suara pemilu 2024.

#AyoSiapSiapNyoblos",N E Y A V A,0,0,0,2024-02-12T13:49:40.000Z
"Sambut pesta demokrasi
Berikan hak suaramu di pemilu 14 Februari 2024 
#AyoSiapSiapNyoblos",Wizzel,0,0,0,2024-02-13T02:10:41.000Z
"Suaramu menentukan masa depan bangsa
#AyoSiapSiapNyoblos",Wizzel,0,0,0,2024-02-13T02:15:21.000Z
"Semuanya sudah siap tinggal berangkat...

#AyoSiapSiapNyoblos",Yuli Endah,0,0,0,2024-02-12T14:46:14.000Z
"Semoga banyak masyarakat yang ikut berpartisipasi.

#AyoSiapSiapNyoblos",N E Y A V A,0,0,0,2024-02-12T13:39:12.000Z
"Tentukan pilihan tepat sesuai hati nurani.

#AyoSiapSiapNyoblos",Yuli Endah,0,0,0,2024-02-12T14:16:18.000Z
"Satu suara sangat berharga bagi kelangsungan negara Indonesia

#AyoSiapSiapNyoblos",Yuli Endah,0,0,0,2024-02-12T14:45:21.000Z
"Simak yoook cara nyoblos di TPS.

#AyoSiapSiapNyoblos",N E Y A V A,0,0,0,2024-02-12T13:43:30.000Z
"Pemasangan spanduk ayo nyoblos ini mewujudkan Pemilu yang aman, damai, dan kondusif di Kota Pekabaru yang kita cintai ini,"" kata Jeki.
#AyoSiapSiapNyoblos",Yati,0,0,0,2024-02-12T16:46:10.000Z
"Gunakan hak suara mu di pemilu 14 Februari 2024
#AyoSiapSiapNyoblos",Wizzel,0,0,0,2024-02-13T02:13:41.000Z
"Mari kita gunakan hak suara kita 
#AyoSiapSiapNyoblos ~",Jurus Ular Cobra,0,0,0,2024-02-13T05:10:37.000Z
"Sangat setuju dan sangat mengapresiasi sekali

#AyoSiapSiapNyoblos",Yuli Endah,0,0,0,2024-02-12T15:08:28.000Z
"Apa saja yang perlu di bawa ke TPS.

#AyoSiapSiapNyoblos",N E Y A V A,0,0,0,2024-02-12T13:42:27.000Z
"Jan siasiakan Suaramu kawan
#AyoSiapSiapNyoblos ",Chika,0,0,0,2024-02-12T15:14:08.000Z
"Sangat memudahkan saat di TPS nanti.

#AyoSiapSiapNyoblos",N E Y A V A,0,0,0,2024-02-12T13:54:30.000Z
"Gunakan hak pilih sesuai pilihan hati nurani.

#AyoSiapSiapNyoblos",Yuli Endah,0,0,0,2024-02-12T15:13:06.000Z
"Gunakan hak suara kalian.

#AyoSiapSiapNyoblos",N E Y A V A,0,0,0,2024-02-12T13:53:50.000Z
"Ayoo gunakan hak suara kalian.

#AyoSiapSiapNyoblos",N E Y A V A,0,0,0,2024-02-12T13:58:45.000Z
"Setiap warna akan mewakili salah satu jenis jabatan atau lembaga publik yang diperebutkan. Yaitu memilih Presiden dan Wakil Presiden, Anggota DPR RI, DPD, DPRD Provinsi dan DPRD Kabupaten/Kota.

#AyoSiapSiapNyoblos",Yati,0,1,0,2024-02-12T16:40:00.000Z
"Golput bukan pilihan. Mari kita sukseskan Pemilu Aman dan Damai 2024,""
#AyoSiapSiapNyoblos",Yati,0,0,1,2024-02-12T16:46:50.000Z
"Ayooo nyoblos ke TPS.

#AyoSiapSiapNyoblos",N E Y A V A,0,0,0,2024-02-12T13:58:14.000Z
"Yuppz suapaya saat pencoblosan mudah nanti.

#AyoSiapSiapNyoblos",N E Y A V A,0,0,0,2024-02-12T13:39:43.000Z
"#AyoSiapSiapNyoblos 
Sangat mengapresiasi sekali, pemasangan spanduk dan partisipasi masyarakat sangat penting",Yuli Endah,0,0,0,2024-02-12T13:57:48.000Z
"Suaramu menentukan masa depan bangsa
#AyoSiapSiapNyoblos",Wizzel,0,0,0,2024-02-13T02:09:21.000Z
"Siapkan semuanya untuk pemilu damai dan aman.

#AyoSiapSiapNyoblos",Yuli Endah,0,0,0,2024-02-12T14:41:49.000Z
"#AyoSiapSiapNyoblos 
Ayooo.... Siapkan semuanya untuk pemilu damai 2024.",Yuli Endah,0,0,1,2024-02-12T13:53:58.000Z
"Partisipasi dan peran serta masyarakat sangat penting.

#AyoSiapSiapNyoblos",Yuli Endah,0,0,0,2024-02-12T14:40:07.000Z
"Ayooo nyoblos di pemilu 2024, jangan golput.

#AyoSiapSiapNyoblos",N E Y A V A,0,0,0,2024-02-12T13:46:15.000Z
"Jeki juga mengajak masyarakat untuk menjaga kerukunan dan keamanan. 
#AyoSiapSiapNyoblos",Yati,0,0,0,2024-02-12T16:45:53.000Z
"Tanggal 14 Februari besok, jangan lupa gunakan hak pilih kita #AyoSiapSiapNyoblos .",Jurus Ular Cobra,0,0,0,2024-02-13T04:49:13.000Z
"Ayooo memilih dengan datang ke TPS.

#AyoSiapSiapNyoblos",N E Y A V A,0,0,1,2024-02-12T13:45:43.000Z
"Makanya jangan golput ayoook datang ke TPS.

#AyoSiapSiapNyoblos",N E Y A V A,0,0,0,2024-02-12T14:01:15.000Z
"Kita juga mengajak masyarakat untuk menjaga toleransi dan menghindari perselisihan,"" jelasnya.
#AyoSiapSiapNyoblos",Yati,0,1,1,2024-02-12T16:47:49.000Z
"Dukung pemilu damai dan aman untuk Indonesia.

#AyoSiapSiapNyoblos",Yuli Endah,0,0,0,2024-02-12T15:09:18.000Z
"Yoook jangan golput, datang ke TPS.

#AyoSiapSiapNyoblos",N E Y A V A,0,0,0,2024-02-12T13:49:06.000Z
"Mari kita gunakan hak suara kita 
#AyoSiapSiapNyoblos ~",Jurus Ular Cobra,0,0,0,2024-02-13T05:30:09.000Z
"Dgn ikut pemilu, kamu menjadi bagian dari pahlawan Demokrasi 
#AyoSiapSiapNyoblos",Wizzel,0,0,0,2024-02-13T02:16:06.000Z
"#AyoSiapSiapNyoblos 
Siap laksanakan ikut Nyoblos dan tidak akan golput.",Yuli Endah,0,0,0,2024-02-12T14:20:35.000Z
"Oh gitu yaa kak, semoga pemilu damai.

#AyoSiapSiapNyoblos",N E Y A V A,0,0,0,2024-02-12T13:37:48.000Z
"Ayooo nyoblos jangan lupa tanggal 14 februari.

#AyoSiapSiapNyoblos",N E Y A V A,0,0,0,2024-02-12T13:41:03.000Z
"Okeee sangat membantu, untuk apa saja yang di bawa saat ke TPS.

#AyoSiapSiapNyoblos",N E Y A V A,0,0,0,2024-02-12T13:44:44.000Z
"Kenali warna surat suara pemilu 2024.

#AyoSiapSiapNyoblos",N E Y A V A,0,0,0,2024-02-12T13:36:06.000Z
"Ayooo nyoblos pemilu 2024.

#AyoSiapSiapNyoblos",N E Y A V A,0,0,0,2024-02-12T13:44:03.000Z
"Siap pasti dong datang ke TPS untuk memberikan hak suara.

#AyoSiapSiapNyoblos",N E Y A V A,0,0,0,2024-02-12T13:55:12.000Z
"#AyoSiapSiapNyoblos 
Warna yang berbeda dapat membedakan masing-masing surat suara.",Yuli Endah,0,0,0,2024-02-12T15:11:49.000Z
"Cipatakan pemilu 2024 yang damai dan aman.

#AyoSiapSiapNyoblos",N E Y A V A,0,0,0,2024-02-12T13:51:46.000Z
Besok gunakan hak pilih dengan mencoblos sesuai hati nurani #AyoSiapSiapNyoblos :,Jurus Ular Cobra,0,0,0,2024-02-13T04:55:47.000Z
"Ayooo nyoblos jangan sampai golput.

#AyoSiapSiapNyoblos",N E Y A V A,0,0,0,2024-02-12T13:52:48.000Z
"Ajakan yang baik untuk masyarakat demi tercapainya pemilu damai.

#AyoSiapSiapNyoblos",Yuli Endah,0,0,0,2024-02-12T15:04:31.000Z
"#AyoSiapSiapNyoblos
Simak ya jangan sampai salah ",Wizzel,0,0,0,2024-02-13T02:12:21.000Z
"Ini sangat memudahkan nanti saat pemilu.

#AyoSiapSiapNyoblos",N E Y A V A,0,0,0,2024-02-12T13:52:21.000Z
"KPU ingin memudahkan pemilih dalam membedakan surat suara untuk setiap jabatan atau lembaga publik. Ini sekaligus menjadi simbol keberagaman demokrasi di Indonesia, di mana setiap warna mewakili suara dan aspirasi yang berbeda dari masyarakat.
#AyoSiapSiapNyoblos",Yati,0,0,0,2024-02-12T16:40:23.000Z
"#AyoSiapSiapNyoblos 
Semua telah dipersiapkan untuk jalannya pemilu 2024.",Yuli Endah,0,1,1,2024-02-12T14:23:30.000Z
"PKS hadir sebagai partai yang melawan segala bentuk diskriminasi dan intoleransi dalam masyarakat.
#Ber1Coblos8uletOren
#Seger8ener
#AyoSiapSiapNyoblos
Kawal Demokrasi Bersama Alam Kalahkan TukangFitnah Pakar Dirty Vote",#Seger8ener #AMINajadulu,0,0,0,2024-02-12T13:48:37.000Z
"#AyoSiapSiapNyoblos 
Satu suara sangat berharga untuk masa depan bangsa Indonesia",Yuli Endah,0,0,0,2024-02-12T13:59:40.000Z
"Tentukan pilihan mu sesuai hati nurani.

#AyoSiapSiapNyoblos",Yuli Endah,0,0,0,2024-02-12T13:47:10.000Z
"Masyarakat dilibatkan utk wujudkan pemilu damai
#AyoSiapSiapNyoblos",Wizzel,0,0,0,2024-02-13T02:09:05.000Z
"Siap menjadi Pahlawan Demokrasi Indonesia.

#AyoSiapSiapNyoblos",Yuli Endah,0,0,0,2024-02-12T14:37:32.000Z
"Siap dukung pemilu damai 2024 untuk Indonesia.

#AyoSiapSiapNyoblos",Yuli Endah,0,0,0,2024-02-12T13:55:10.000Z
"Jadilah pahlawan demokrasi.

#AyoSiapSiapNyoblos",N E Y A V A,0,0,0,2024-02-12T13:46:43.000Z
"Dengan ikut mencoblos besok, kita sudah ikut menentukan arah bangsa ini #AyoSiapSiapNyoblos ,",Jurus Ular Cobra,0,0,0,2024-02-13T04:49:31.000Z
"5 surat suara dengan warna yang berbeda dengan mudah membedakan.

#AyoSiapSiapNyoblos",Yuli Endah,0,0,0,2024-02-12T15:07:32.000Z
"Ayooo gunakan hak pilih mu.

#AyoSiapSiapNyoblos",N E Y A V A,0,0,0,2024-02-12T13:47:16.000Z
"Mari kita gunakan hak suara kita 
#AyoSiapSiapNyoblos ~",Jurus Ular Cobra,0,0,0,2024-02-13T05:15:17.000Z
"Mari kita gunakan hak suara kita 
#AyoSiapSiapNyoblos ~",Jurus Ular Cobra,0,0,0,2024-02-13T04:48:55.000Z
"Yook ikut berpartisipasi dalam pemilu 2024.

#AyoSiapSiapNyoblos",N E Y A V A,0,0,0,2024-02-12T13:59:19.000Z
"Ayok ke TPS jangan golput.

#AyoSiapSiapNyoblos",N E Y A V A,0,0,0,2024-02-12T13:40:18.000Z
"Mari kita gunakan hak suara kita 
#AyoSiapSiapNyoblos ~",Jurus Ular Cobra,0,0,0,2024-02-13T06:43:47.000Z
"Jangan males jangan mager, datang ke TPS.

#AyoSiapSiapNyoblos",N E Y A V A,0,0,0,2024-02-12T13:55:42.000Z
"Diharapkan masyarakat semua berpartisipasi dalam menentukan masa depan bangsa. 
#AyoSiapSiapNyoblos",Abba ,0,1,1,2024-02-12T13:17:41.000Z
"Datang sesuai jam yang sudah di tentukan.

#AyoSiapSiapNyoblos",N E Y A V A,0,0,0,2024-02-12T13:23:28.000Z
"Pemerintah Kalurahan Tepus mengajak masyarakat di Kalurahan Tepus yang mendapatkan hak pilih agar marilah kita bersama-sama menciptakan momentum demokrasi yang berkualitas dengan turut serta dalam pemilu serentak tahun 2024.

#AyoSiapSiapNyoblos

https://desatepus.gunungkidulkab.go.id/first/artikel/3225-Kenali-5-Warna-Surat-Suara-Pemilu-2024--Ayo-Coblos--Jangan-Golput-",Yuli Endah,1,3,3,2024-02-12T13:17:08.000Z
"Iyaaa pilih sesuai hati nurani.

#AyoSiapSiapNyoblos",N E Y A V A,0,0,0,2024-02-12T13:32:30.000Z
"Ayooo nyoblos jangan golput.

#AyoSiapSiapNyoblos",N E Y A V A,0,0,0,2024-02-12T13:25:47.000Z
"datang ke TPS pada tgl 14 Februari 2024

#AyoSiapSiapNyoblos",andra___,0,0,0,2024-02-12T13:11:05.000Z
"Ayo tunjukkan bahwa suara kita memiliki arti dan dampak yang besar bagi arah pembangunan negara ini. Jika kita ingin perubahan yang positif, maka mulailah dengan satu langkah kecil: cobloslah pada pemilu tahun 2024.

#AyoSiapSiapNyoblos",Yuli Endah,1,2,2,2024-02-12T13:16:24.000Z
"Iyaa dong keren kalo gak golput.

#AyoSiapSiapNyoblos",N E Y A V A,0,0,0,2024-02-12T13:11:20.000Z
"Polresta Pekanbaru terus menciptakan suasana yang aman dan damai
#AyoSiapSiapNyoblos",andra___,0,0,0,2024-02-12T13:12:59.000Z
"Mari datang ke TPS.

#AyoSiapSiapNyoblos",N E Y A V A,0,0,0,2024-02-12T13:24:42.000Z
"Yoook jangan golput.

#AyoSiapSiapNyoblos",N E Y A V A,0,0,0,2024-02-12T13:20:52.000Z
"tanggal 14 Februari 2024 datang ke TPS untuk memilih sesuai hati nurani kita, jangan mau di intimidasi oleh siapapun. 
#AyoSiapSiapNyoblos `",andra___,0,0,0,2024-02-12T13:11:27.000Z
"Surat suara pemilu 2024 dlm 5 warna yg berbeda sesuai dgn peraturan KPU no 14 th 2023 yg tlh dipublikasi oleh KPU DIY dlm akun resmi medsos. Warna surat suara tersebut mencerminkan beragamnya pilihan calon yg akan bertarung dlm pemilu.
#AyoSiapSiapNyoblos",Yuli Endah,1,5,6,2024-02-12T13:15:09.000Z
"Ayo nyoblos ke TPS tanggal 14 Februari 2024

#AyoSiapSiapNyoblos",andra___,0,0,0,2024-02-12T13:11:45.000Z
"Ayok ciptakan suasana yang aman dan damai.

#AyoSiapSiapNyoblos",N E Y A V A,0,0,0,2024-02-12T13:14:44.000Z
