text,author,reply,retweet,like,date,cleaned_text,label,non_baku
Feri Amsari I Aktor Terbesar Kecurangan Pemilu 2024 itu Presiden Jokowi,Mahkamah Keluarga,0,1,2,2024-03-06T01:19:05.000Z,Feri Amsari I Aktor Terbesar Kecurangan Pemilu 2024 itu Presiden Jokowi,negative,
"Masyarakat diharapkan untuk bersabar dan menahan diri tidak menyebarkan informasi yang belum diketahui kebenarannya pasca pelaksanaan Pemilu 2024. 

#Pemilu2024
#PemiluDamai2024
#PemiluDamaiNegeriMaju
#Pemilu2024BebasHoaks
#Pemilu2024MenujuIndonesiaMaju",Titah Pandita,0,0,0,2024-03-06T02:38:13.000Z,Masyarakat diharapkan untuk bersabar dan menahan diri tidak menyebarkan informasi yang belum diketahui kebenarannya pasca pelaksanaan Pemilu 2024.,positive,
Pemilu 2024 adalah contoh nyata kemunduran demokrasi.,Polsek Pancoran,0,0,0,2024-03-06T02:39:01.000Z,Pemilu 2024 adalah contoh nyata kemunduran demokrasi.,negative,
Pemilu yang terjamin integritasnya adalah fondasi utama bagi demokrasi yang kuat.,TabloidBintang.com,0,0,0,2024-03-06T02:32:33.000Z,Pemilu yang terjamin integritasnya adalah fondasi utama bagi demokrasi yang kuat.,negative,
Sudah waktunya untuk memberantas kecurangan dalam pemilu.,Humas Polres Buleleng,0,0,0,2024-03-06T02:47:52.000Z,Sudah waktunya untuk memberantas kecurangan dalam pemilu.,negative,
Ayo bersama ciptakan Pemilu 2024 damai dan aman #PemiluJujur,Gyan,0,0,0,2024-03-06T03:23:58.000Z,Ayo bersama ciptakan Pemilu 2024 damai dan aman,positive,
"Tegakkan kedamaian pasca pemilu tanpa isu negatif dan provokatif.

#Pemilu2024
#PemiluDamai2024
#PemiluDamaiNegeriMaju
#Pemilu2024BebasHoaks
#Pemilu2024MenujuIndonesiaMaju",Titah Pandita,0,0,0,2024-03-06T02:39:11.000Z,Tegakkan kedamaian pasca pemilu tanpa isu negatif dan provokatif.,negative,
Kecurangan dalam pemilu menghancurkan integritas proses demokrasi dan menciptakan ketidakstabilan politik.,POLSEK RANCAEKEK POLRESTA BANDUNG,0,0,1,2024-03-06T03:16:56.000Z,Kecurangan dalam pemilu menghancurkan integritas proses demokrasi dan menciptakan ketidakstabilan politik.,negative,
Hak angket diperlukan untuk mengungkap kecurangan Pemilu 2024.,KodimSorong,0,0,0,2024-03-06T03:08:08.000Z,Hak angket diperlukan untuk mengungkap kecurangan Pemilu 2024.,negative,
Kecurangan dalam pemilu adalah pengkhianatan terhadap kehendak rakyat dan prinsip demokrasi.,Unpacking Indonesia,0,0,0,2024-03-06T02:23:56.000Z,Kecurangan dalam pemilu adalah pengkhianatan terhadap kehendak rakyat dan prinsip demokrasi.,negative,
