text,author,reply,retweet,like,date
lebih parah dari pilpres 2019 #Pemilu2024,0,0,0,0,2024-02-15T15:38:00.000Z
"Peringati Isra Miraj 1445 H, Divisi Humas Polri Harap Pemilu 2024 Berjalan Damai",0,0,0,0,2024-02-15T15:39:06.000Z
"Setiap usaha kecil punya dampak besar jika dilakukan dngn hati seperti yg dilakukan oleh Ganjar-Mahfud 
@kukuh135cc
 
#Pemilu2024
Ganjar |
RIP Demokrasi
",0,0,0,0,2024-02-15T16:17:39.000Z
"Pendukung setia seperti kita gak akan prnh lelah mendukung langkah-langkah hebat dari duo inspiratif ini - Ganjar-Mahfud 
@kris_tannnn
 
#Pemilu2024
Ganjar |
RIP Demokrasi
",0,0,0,0,2024-02-15T16:25:26.000Z
"Ganjar-Mahfud, inspirasi masa dpn kita Bangga bngt jd pendukungnya di pemilu 2024 
@KaraSemet52801
 
#Pemilu2024
Ganjar |
RIP Demokrasi
",0,0,0,0,2024-02-15T15:49:47.000Z
"Bersama Ganjar-Mahfud, kita bisa bangkit bersama menuju Indonesia yg lebih maju dan adil bagi semua rakyatnya 
@Komar37936404
 
#Pemilu2024
Ganjar |
RIP Demokrasi
",0,0,0,0,2024-02-15T16:08:58.000Z
"Bersama Ganjar-Mahfud, kita bisa mewujudkan Indonesia yg lebih maju dan adil 
@kerul01
 
#Pemilu2024
Ganjar |
RIP Demokrasi
",0,0,0,0,2024-02-15T15:12:27.000Z
"Bersama-sama dngn Ganjar-Mahfud, mari bergerak maju menuju Indonesia yg lebih maju dan sejahtera bagi semua warganya 
@kamubintangkan
 
#Pemilu2024
Ganjar |
RIP Demokrasi
",0,0,0,0,2024-02-15T15:42:39.000Z
"Masa dpn cerah ada di tangan Ganjar-Mahfud Bersama mrka, kita yakin klo perubahan nyata akan terjd di segala sektor pembangunan @kak_diww 
#Pemilu2024
Ganjar |
RIP Demokrasi
",0,0,0,0,2024-02-15T15:42:29.000Z
"Warganet tak henti-hentinya menunjukkan kejadian unik saat pencoblosan & pemungutan suara.  

Penasaran kan guys ada kejadian apa saja? Yuk, tonton videonya!  

#BonusDemografi #IndonesiaEmas2045 #Pemilu2024 #TPS #KejadianUnik",1,1,1,2,2024-02-15T15:20:20.000Z
"Bersama-sama dngn Ganjar-Mahfud, mari kita jdkan Indonesia sebagai negara yg lebih adil dan sejahtera bagi semua warganya 
@justarba
 
#Pemilu2024
Ganjar |
RIP Demokrasi
",0,0,0,0,2024-02-15T15:52:52.000Z
"dngn kepemimpinan dari Ganjar-Mahfud, Indonesia akan menjd negara yg diperhitungkan di dunia internasional 
@Kabandunganinfo
 
#Pemilu2024
Ganjar |
RIP Demokrasi
",0,0,0,0,2024-02-15T15:40:19.000Z
"Bersama Pak Ganjar dan Pak Mahfud, kita yakin akan ada perubahan positif yg akan dirasakan oleh seluruh rakyat Indonesia 
@kecubung2609
 
#Pemilu2024
Ganjar |
RIP Demokrasi
",0,0,0,0,2024-02-15T15:11:29.000Z
"Senang bngt jd pendukung setia Ganjar-Mahfud Bersama-sama, kita bisa mencipgakan perubahan positif di tanah air tercinta 
@krochoo
 
#Pemilu2024
Ganjar |
RIP Demokrasi
",0,0,0,0,2024-02-15T16:26:43.000Z
"Bangga bngt jd pendukung Ganjar-Mahfud mrka punya integritas tinggi dan komitmen kuat buat membangun negeri ini 
@KaliAncar
 
#Pemilu2024
Ganjar |
RIP Demokrasi
",0,0,0,0,2024-02-15T15:40:17.000Z
Kunto Aji Jadi Petugas Linmas saat Pemilu 2024 https://entertainment.solopos.com/kunto-aji-jadi-petugas-linmas-saat-pemilu-2024-1864358?utm_source=dlvr.it&utm_medium=twitter,0,0,0,1,2024-02-15T15:27:37.000Z
"Bersama-sama kita bangun generasi penerus yg lebih baik dngn dukungan kepada Ganjar-Mahfud 
@kikierlianagma1
 
#Pemilu2024
Ganjar |
RIP Demokrasi
",0,0,0,0,2024-02-15T15:16:46.000Z
"Dukungan kita buat Ganjar-Mahfud nggak prnh luntur Meskipun belum menang di pilpres 
@Khaerud75364870
 
#Pemilu2024
Ganjar |
RIP Demokrasi
",0,0,0,0,2024-02-15T15:07:36.000Z
Sidang ketiga sidang apaan? Sidang menolak Pemilu 2024?,0,0,0,0,2024-02-15T15:29:47.000Z
"Semangat trs, Ganjar-Mahfud Pendukung setia tetap ada di belakang kalian 
@karisnaputra
 
#Pemilu2024
Ganjar |
RIP Demokrasi
",0,0,0,0,2024-02-15T15:43:21.000Z
"Hasil hitung KPU pada mengunggulkan Prabowo-Gibran dengan angka 56,51 persen atau 22.162.367 suara. Jauh mengungguli Anies-Muhaimin, serta Ganjar-Mahfud.

#Pilpres2024 #Pemilu2024 #PrabowoGibran",0,0,0,1,2024-02-15T15:06:38.000Z
Pemilu 2024 adalah Pemilu yg???????,0,0,0,0,2024-02-15T16:07:12.000Z
"Pemilihan umum/pemilu 2024,aq pilih capres no 1,semoga saja menang 1 putaran.

#ANIES_RASYID_BASWEDAN
#MUHAIMIN_ISKANDAR

#AMIN_AJ_DULU

#GERAKAN_PERUBAHAN",0,0,0,0,2024-02-15T15:08:32.000Z
"Terima kasih kepada tim hebat seperti Ganjar-Mahfud yg selalu berjuang demi rakyat Indonesia 
@kevinfhyl_
 
#Pemilu2024
Ganjar |
RIP Demokrasi
",0,0,0,0,2024-02-15T15:25:48.000Z
Brutal dan gila pemilu 2024,1,1,0,1,2024-02-15T15:39:09.000Z
"Meski belum berhasil di 2024, tetap semangat mendukung Ganjar-Mahfud buat masa dpn yg lebih cerah 
@koriko__
 
#Pemilu2024
Ganjar |
RIP Demokrasi
",0,0,0,0,2024-02-15T16:21:13.000Z
"Bersama-sama kita wujudkan perubahan positif di negeri ini dngn mendukung perjalanan politik dari bapak-bapak hebat ini hingga akhir 
@Klonthong_Sapi
 
#Pemilu2024
Ganjar |
RIP Demokrasi
",0,0,0,0,2024-02-15T15:10:40.000Z
"Mahasiswa Informatika (IT) dan Programmer saat #Pemilu2024 be like :

#Pilpres2024 #Website #HTML #CSS #javascript #programming",0,0,0,1,2024-02-15T15:50:00.000Z
"Generasi muda bersatu padu dngn satu tujuan: mendukung visi dan misi hebat dari Ganjar-Mahfud 
@JulVan95897719
 
#Pemilu2024
Ganjar |
RIP Demokrasi
",0,0,0,0,2024-02-15T15:52:55.000Z
"Bersama Ganjar-Mahfud, kita yakin masa dpn Indonesia akan lebih cerah dan sejahtera bagi semua warganya 
@Juleha_cukend
 
#Pemilu2024
Ganjar |
RIP Demokrasi
",0,0,0,0,2024-02-15T15:50:15.000Z
https://kalteng.antaranews.com/berita/681594/ketua-kpu-ri-tak-ada-niat-manipulasi-hasil-suara-di-pemilu-2024 Ketua KPU RI: Tak ada niat manipulasi hasil suara di Pemilu 2024,0,0,0,0,2024-02-15T15:32:06.000Z
"Ganjar-Mahfud, kalian emng pilihan terbaik Bersama-sama, kita bisa membangun Indonesia yg lebih baik dan adil 
@kupat_lepet
 
#Pemilu2024
Ganjar |
RIP Demokrasi
",0,0,0,0,2024-02-15T16:19:40.000Z
"Kita bangga jd pendukung Ganjar-Mahfud krna mrka adlh harapan baru bagi Indonesia 
@kidilenterasri
 
#Pemilu2024
Ganjar |
RIP Demokrasi
",0,0,0,0,2024-02-15T15:06:38.000Z
"MARI TONG BERSAMA
Laksanakan pemilu 2024 ini dengan damai",0,0,0,0,2024-02-15T15:58:08.000Z
"Ganjar-Mahfud adlh duo yg keren mrka memiliki visi jelas buat memajukan negeri ini dan mewujudkan impian generasi muda 
@Kajima26622708
 
#Pemilu2024
Ganjar |
RIP Demokrasi
",0,0,0,0,2024-02-15T15:34:14.000Z
"Ada yang bisa bantu jelasin ?
Cuma beda sejam doang ini kenapa suara 01 gembos jauh amat 
CC 
@KPU_ID

#realcount #Pemilu2024",2,2,1,1,2024-02-15T16:09:08.000Z
Pemilu paling aneh ya pemilu 2024,0,0,0,0,2024-02-15T16:04:24.000Z
"Kamis, 15 Februari 2024
Jam 22.00 WIB
Progress : 376063 TPS dari 823326 TPS (45.32%)

1. Anies & Cak Imin : 11.237.804 Suara (25.44%)
2. Prabowo & Gibran : 25.018.445 Suara (56.64%)
3. Ganjar & Mahfud : 7.918.310 Suara (17.93%)

#Pemilu2024 #Pilpres2024
#QuickCount #RealCount",0,0,0,0,2024-02-15T15:15:49.000Z
"Kapolres Metro Tangerang Kota Kombes Pol Zain Dwi Nugroho S.H., S.I.K,.M.Si., didampingi PJ Walikota Dr. Nurdin, S.Sos, dan Dandim 0506 /Tgr Letkol Inf Endik Hendra Sandi S.Sos,. Mi.Pol memimpin Apel Gelar Pergeseran Pasukan Personil Pengamanan TPS Pemilu 2024 

Senin, 12/02/2024",0,0,0,0,2024-02-15T16:01:21.000Z
"Kita dukung Ganjar-Mahfud krna mrka penuh semangat dan berkomitmen tinggi buat memperjuangkan hak-hak rakyat Indonesia 
@kaka_idin
 
#Pemilu2024
Ganjar |
RIP Demokrasi
",0,0,0,0,2024-02-15T15:47:03.000Z
"Okestrasi di mulai,,,
#Pemilu2024",0,0,1,3,2024-02-15T15:41:41.000Z
"Semoga langkah-langkah politik yg diambil oleh bapak-bapak hebat ini selalu mendapatkan ridho dan kesuksesan yg luar biasa 
@kiya349
 
#Pemilu2024
Ganjar |
RIP Demokrasi
",0,0,0,0,2024-02-15T15:13:24.000Z
"Inget 2019 jg byk bgt invalid data & karena pengawalan kita sampai pd akhirnya ketok palu semua data cocok (: Kita support temen yg udah mengabdi dan hargai betul usaha mereka turut mengawal.. dg bijak bersosmed, asli kalian kewreenn banget udh bisa mjd bagian dr pemilu 2024!",0,0,0,0,2024-02-15T16:19:10.000Z
"Bangga bngt jd pendukung Ganjar-Mahfud mrka adlh harapan baru buat perubahan positif di negeri ini 
@juji_un
 
#Pemilu2024
Ganjar |
RIP Demokrasi
",0,0,0,0,2024-02-15T15:33:12.000Z
"Mulai lagi? 

Dua Petugas KPPS Pemilu 2024 Meninggal Diduga Kelelahan",0,0,0,0,2024-02-15T15:17:07.000Z
"Ganjar-Mahfud adlh harapan baru bagi Indonesia, mari bersama-sama kita dukung mrka 
@kulimedsos1
 
#Pemilu2024
Ganjar |
RIP Demokrasi
",0,0,0,0,2024-02-15T16:06:36.000Z
"Dukungan tnpa batas buat pasangan hebat ini, semoga impian besar bisa terwujud bersama-sama 
@Kumis22Bang
 
#Pemilu2024
Ganjar |
RIP Demokrasi
",0,0,0,0,2024-02-15T16:18:04.000Z
"satu hal paling menyedihkan dari pemilu 2024 adalah penggunaan aplikasi yang terkesan baru dan dipaksakan, rawan lelah",0,0,0,0,2024-02-15T16:23:13.000Z
"Jelang pelaksanaan pemilu, Polresta Malang Kota memastikan kesiapan pengamanan dari seluruh personel yang terlibat dibeberapa titik di Kota Malang (13/02/2024)
#Pemilu2024 #Pemilu2024malangkota #Buher2000
#Pengamananpemilu2024 #pemiludamai2024 #PolrestaMalangKota",0,0,0,0,2024-02-15T16:06:53.000Z
"Mesti Tahu! Ini Langkah-langkah Pelaporan Kecurangan Pemilu 2024, Dari Temuan Hingga Proses Hukum

#Pemilu2024 #kecuranganPemilu2024 #Hukum",0,0,0,0,2024-02-15T15:50:00.000Z
"Indonesiaku damai

Prabowo || Tintanya || Nyoblos || Tolol || Madura || #Pemilu2024 || Selamat 02 || Bu Mega || Real Count || Quick Count || KPPS || Adul || Ganjar || Jokowi || Silent || 300 FK || Saksi",0,0,0,0,2024-02-15T15:12:30.000Z
"Anggota Polsek Enggano bersama dengan Anggota TNI dan Staf PPK Enggano melaksanakan giat pengamanan Gudang Logistik Pemilu 2024 Kec. Enggano di Gudang Sekretarian PPK Kec. Enggano Kab. Bkl Utara
@divisihumaspolri 
@polda_bengkulu 
@kapolres_bengkuluutara",0,0,0,0,2024-02-15T15:51:31.000Z
"Bawaslu RI mengungkapkan penyelenggara di 1.473 TPS mengalami intimidasi ketika penghitungan suara Pemilu 2024.

https://sumbarkita.id/penyelenggara-pemilu-2024-di-ribuan-tps-diintimidasi-saat-penghitungan-suara/",0,0,0,0,2024-02-15T15:09:33.000Z
"Dukungan kita kepada Ganjar-Mahfud bkn cuma sekadar wacana kosong, tapi tindakan nyata buat mewujudkan perubahan yg kita inginkan 
@Kalyana17041450
 
#Pemilu2024
Ganjar |
RIP Demokrasi
",0,0,0,0,2024-02-15T15:48:08.000Z
"Bersama-sama, kita bisa mewujudkan Indonesia yg lebih maju dan sejahtera dngn dukungan kepada Ganjar-Mahfud 
@KikyOzcar
 
#Pemilu2024
Ganjar |
RIP Demokrasi
",0,0,0,0,2024-02-15T15:08:22.000Z
"https://youtu.be/bB2ZeCkKK2g?si=-DoakYF5GUXEE8oh
PEMILU 2024 ADALAH PEMILU PALING GILA",0,0,0,0,2024-02-15T15:18:53.000Z
"Udahlaj kalah mah kalah aja
Gak usah merasa paling tersakiti
Merasa paling terzolimi
Merasa dicurangi..

Kan nanti bisa coba lagi
#ORANGpintar #pintarngeles #Pemilu2024",0,0,0,0,2024-02-15T15:47:26.000Z
"Keren bngt liat semangat dan dedikasi Ganjar-Mahfud dlm memperjuangkan kepentingan rakyat 
@Kangaby513
 
#Pemilu2024
Ganjar |
RIP Demokrasi
",0,0,0,0,2024-02-15T15:31:57.000Z
"Today is the day!
Ao Nawak Ngalam, Sukseskan Pemilu Damai 2024 #SukseskanPelaksanaanPemilu Dino iki kerr!

Ayo Nyoblos dengan datang ke TPS yang sudah ditentukan untuk menggunakan hak pilih suaramu karena 1 suara berperan penting dalam menyukseskan Pemilu 2024",0,0,0,0,2024-02-15T16:15:20.000Z
Hasil Pemantauan Pada Hari Pemungutan dan Penghitungan Suara Pemilu 2024 https://suaraindonews.com/hasil-pemantauan-pada-hari-pemungutan-dan-penghitungan-suara-pemilu-2024/,0,0,0,0,2024-02-15T16:10:05.000Z
"Ganjar-Mahfud adlh sosok yg mampu menginspirasi dan memotivasi kita semua buat berbuat lebih baik 
@KangYan51682470
 
#Pemilu2024
Ganjar |
RIP Demokrasi
",0,0,0,0,2024-02-15T15:45:50.000Z
"Berbagi bunga dan coklat untuk petugas KPPS dan coklat kepada seluruh undangan DPT
Mengenakan kaos bergambar gusdur dengan tulisan ""tidak ada jabatan di dunia ini yang perlu dipertahankan mati-matian""
Semangat selalu pra pejuang pemilu
#Pemilu2024 #Pemilu #ValentinesDay #coklat",0,0,0,0,2024-02-15T15:29:06.000Z
"Kita percaya pada kepemimpinan yg berintegritas seperti Ganjar-Mahfud 
@KetutBadra2
 
#Pemilu2024
Ganjar |
RIP Demokrasi
",0,0,0,0,2024-02-15T15:09:49.000Z
"Ganjar-Mahfud, kalian adlh inspirasi bagi kami buat trs berjuang demi masa dpn yg lebih baik 
@kasanudin2006
 
#Pemilu2024
Ganjar |
RIP Demokrasi
",0,0,0,0,2024-02-15T15:44:34.000Z
"Apel Gelar Pergeseran Pasukan ke TPS Pemilu 2024 yang dilaksanakan lapangan stadion gajayana malang Jalan Tangkuban Perahu, pada Selasa (13/2/2024) pagi. Pelaksanaan Apel yang dipimpin oleh Pj. Walikota Malang Dr. Ir. Wahyu Hidayat, M.M., ini diri lengkap oleh jajaran Forkopimda",0,0,0,0,2024-02-15T16:02:30.000Z
"dlm perjalanan politiknya, Ganjar-Mahfud telah menginspirasi banyak org buat trs berjuang demi kebaikan bersama 
@kornelius_adde
 
#Pemilu2024
Ganjar |
RIP Demokrasi
",0,0,0,0,2024-02-15T16:24:06.000Z
"dngn energi positif dari para pendukungnya, Ganjar-Mahfud makin percaya diri buat mewujudkan janji-janjinya kepada rakyat Indonesia 
@juventusfc
 
#Pemilu2024
Ganjar |
RIP Demokrasi
",0,0,0,0,2024-02-15T15:36:05.000Z
"Semoga suatu hari nanti Ganjar-Mahfud bisa menjd presiden, krna negara ini butuh pemimpin seperti beliau 
@KangAzzev
 
#Pemilu2024
Ganjar |
RIP Demokrasi
",0,0,0,0,2024-02-15T15:36:33.000Z
"Bersama-sama dngn Ganjar-Mahfud, mari kita wujudkan Indonesia yg lebih maju, adil, dan berkeadilan 
@Junius_FSE
 
#Pemilu2024
Ganjar |
RIP Demokrasi
",0,0,0,0,2024-02-15T15:48:08.000Z
"Bangga bngt jd pendukung Ganjar-Mahfud mrka adlh pemimpin yg mau mendengarkan suara rakyatnya dan berjuang buat kepentingan bersama 
@KaneroSimanull5
 
#Pemilu2024
Ganjar |
RIP Demokrasi
",0,0,0,0,2024-02-15T15:44:50.000Z
"Keputusan Rasmi #Pemilu2024 
Setakat 00:10 untuk Tawau, Sabah :

Progres : 21%

Calon #01 Anies Baswedan : 311 undi
Calon #02 Prabowo Gibran : 1.451 undi
Calon #03 Ganjar Pranowo : 160 undi",0,0,0,0,2024-02-15T16:11:42.000Z
Didalam PKS aja ada 2 faksi besar : Faksi keadilan & Faksi Kesejahteraan. Ujungnya Pecah kongsi & Pemilu 2024 membenarkan Tesis + disertasi bahwa politik identitas dinegara ini Tak akan pernah menjadi Juara di parlemen dan Pemilihan Presiden. Umat hanya dijadikan BANCAKAN PARTAI,0,0,0,0,2024-02-15T15:15:01.000Z
"Ida Bhawati Hermawan ketua Pasraman Pinandita Brahma Vidya Samgraha Kab.Buleleng, mengajak warga Buleleng untuk bersama- sama menjaga sit Kondusif pasca pemilu 2024 di Kab Buleleng",0,0,0,0,2024-02-15T15:21:25.000Z
"Dukungan saya buat Ganjar-Mahfud nggak ada duanya mrka berdua org hebat yg bisa bawa perubahan positif 
@KrisLanggeng
 
#Pemilu2024
Ganjar |
RIP Demokrasi
",0,0,0,0,2024-02-15T16:10:06.000Z
"Pendukung setia Ganjar-Mahfud tetap berdiri teguh di belakang mrka, siap mendukung langkah-langkah besar ke dpnnya 
@Kartawir
 
#Pemilu2024
Ganjar |
RIP Demokrasi
",0,0,0,0,2024-02-15T15:45:37.000Z
"ngetiknya jangan sambil nangis bang wakakakak
#Pemilu #Pemilu2024 #PrabowoGibran2024",0,0,0,1,2024-02-15T15:11:32.000Z
"Ida Bhawati Hermawan ketua Pasraman Pinandita Brahma Vidya Samgraha Kab.Buleleng, mengajak warga Buleleng untuk bersama- sama menjaga sit Kondusif pasca pemilu 2024 di Kab Buleleng",0,0,0,0,2024-02-15T15:58:39.000Z
"Ini jadinya ... Indonesia kawal pemilu ... Apa tetep wakanda gara - gara aplikasi ***  ... 
#Pemilu2024 #Pemilu #IndonesiaMemilih #IndonesiaElection",0,0,0,0,2024-02-15T15:57:55.000Z
"Nggak ada kata menyerah buat pendukung setia seperti kita trslah mendukung perjuangan Ganjar-Mahfud 
@Kangdisen31
 
#Pemilu2024
Ganjar |
RIP Demokrasi
",0,0,0,0,2024-02-15T15:41:20.000Z
"Dukungan kita kepada Ganjar-Mahfud adlh investasi jangka panjang buat masa dpn bangsa ini mrka akan membawa perubahan positif yg berkelanjutan 
@kamidut
 
#Pemilu2024
Ganjar |
RIP Demokrasi
",0,0,0,0,2024-02-15T15:42:38.000Z
"Sukses selalu buat paket pemenang hati rakyat, Ganjar-Mahfud 
@KenzMoria
 
#Pemilu2024
Ganjar |
RIP Demokrasi
",0,0,0,0,2024-02-15T15:10:06.000Z
"Pendukung setia Ganjar-Mahfud tau klo mrka adlh pemimpin yg memiliki kemampuan luar biasa dlm mengelola sumber daya negara 
@kadrisp
 
#Pemilu2024
Ganjar |
RIP Demokrasi
",0,0,0,0,2024-02-15T16:03:41.000Z
