text,author,reply,retweet,like,date,cleaned_text
Feri Amsari I Aktor Terbesar Kecurangan Pemilu 2024 itu Presiden Jokowi,Mahkamah Keluarga,0,1,2,2024-03-06T01:19:05.000Z,Feri Amsari I Aktor Terbesar Kecurangan Pemilu 2024 itu Presiden Jokowi
"Masyarakat diharapkan untuk bersabar dan menahan diri tidak menyebarkan informasi yang belum diketahui kebenarannya pasca pelaksanaan Pemilu 2024. 

#Pemilu2024
#PemiluDamai2024
#PemiluDamaiNegeriMaju
#Pemilu2024BebasHoaks
#Pemilu2024MenujuIndonesiaMaju",Titah Pandita,0,0,0,2024-03-06T02:38:13.000Z,Masyarakat diharapkan untuk bersabar dan menahan diri tidak menyebarkan informasi yang belum diketahui kebenarannya pasca pelaksanaan Pemilu 2024.            
Patroli dialogis yang humanis unit Samapta Polsek Pancoran Bripka Riki tingkatkan Silaturrahmi sampaikan Pesan Kamtibmas dan Call Center 110 kepada Security Apartemen taman raja untuk menciptakan situasi yg aman dan kondusif usai Pemilu 2024.,Polsek Pancoran,0,0,0,2024-03-06T02:39:01.000Z,Patroli dialogis yang humanis unit Samapta Polsek Pancoran Bripka Riki tingkatkan Silaturrahmi sampaikan Pesan Kamtibmas dan Call Center 110 kepada Security Apartemen taman raja untuk menciptakan situasi yg aman dan kondusif usai Pemilu 2024.
Proses penghitungan suara Pemilu 2024 oleh Komisi Pemilihan Umum (KPU) terus berjalan dan saat ini telah memasuki tahap rekapitulasi hingga 20 Maret 2024 mendatang.,TabloidBintang.com,0,0,0,2024-03-06T02:32:33.000Z,Proses penghitungan suara Pemilu 2024 oleh Komisi Pemilihan Umum (KPU) terus berjalan dan saat ini telah memasuki tahap rekapitulasi hingga 20 Maret 2024 mendatang.
"Blue Light Patrol  Guna Menjaga Kamtibmas Tetap Kondusif serta Terciptanya Kamseltibcar Lantas Pasca Pemilu 2024, Personil Polsek Celukan Bawang Gencar Melaksanakan ""Blue Light Patrol""  #Polresbuleleng #bluelightpatrol #kryd",Humas Polres Buleleng,0,0,0,2024-03-06T02:47:52.000Z,"Blue Light Patrol  Guna Menjaga Kamtibmas Tetap Kondusif serta Terciptanya Kamseltibcar Lantas Pasca Pemilu 2024, Personil Polsek Celukan Bawang Gencar Melaksanakan ""Blue Light Patrol""       "
Ayo bersama ciptakan Pemilu 2024 damai dan aman #PemiluJujur,Gyan,0,0,0,2024-03-06T03:23:58.000Z,Ayo bersama ciptakan Pemilu 2024 damai dan aman  
"Tegakkan kedamaian pasca pemilu tanpa isu negatif dan provokatif.

#Pemilu2024
#PemiluDamai2024
#PemiluDamaiNegeriMaju
#Pemilu2024BebasHoaks
#Pemilu2024MenujuIndonesiaMaju",Titah Pandita,0,0,0,2024-03-06T02:39:11.000Z,Tegakkan kedamaian pasca pemilu tanpa isu negatif dan provokatif.           
"Unit Samapta Polsek Rancaekek Polresta Bandung laksanakan patroli dialogis perintis presisi guna mencegah dan menangkal segala bentuk gangguan kamtibmas di wilayah hukum Polsek Rancaekek pasca dilaksanakannya Pemilu 2024.


@spripim
.polri
@divisihumaspolri",POLSEK RANCAEKEK POLRESTA BANDUNG,0,0,1,2024-03-06T03:16:56.000Z,Unit Samapta Polsek Rancaekek Polresta Bandung laksanakan patroli dialogis perintis presisi guna mencegah dan menangkal segala bentuk gangguan kamtibmas di wilayah hukum Polsek Rancaekek pasca dilaksanakannya Pemilu 2024.     .polri  
"Wadanramil 1802-02/Sorong Barat Monitoring Keamanan Berlangsungnya Rapat Pleno Kota Sorong Pemilu 2024.

https://instagram.com/p/C4KB35Sy7S-/?igsh=MTAxa2UxdTFrbGIyNw==",KodimSorong,0,0,0,2024-03-06T03:08:08.000Z,Wadanramil 1802-02/Sorong Barat Monitoring Keamanan Berlangsungnya Rapat Pleno Kota Sorong Pemilu 2024.  
"Zulfan Lindan Unpacking Indonesia mengundang dua politisi PSI, Irma ""Inang"" Hutabarat dan Andi Budiman, untuk membahas bagaimana perkembangan PSI usai Pemilu 2024.

Link YT : https://youtu.be/qOOkPPDGnTI
Link Spotify : https://open.spotify.com/episode/72I77h3U4awF0G5p0YEB5M?si=2c97786e81c84e83",Unpacking Indonesia,0,0,0,2024-03-06T02:23:56.000Z,"Zulfan Lindan Unpacking Indonesia mengundang dua politisi PSI, Irma ""Inang"" Hutabarat dan Andi Budiman, untuk membahas bagaimana perkembangan PSI usai Pemilu 2024.  Link YT :  Link Spotify : "
