text,author,reply,retweet,like,date,cleaned_text,non_baku
"Pemilu 2024, paslon 1 & 3 laksana PPP & PDI melawan Golkar (Pemerintahan Soeharto) di Pemilu era Orba. Saat itu apa yg tidak dikondisikan Negara utk kemenangan Golkar.",Suluh'98,1,0,1,2024-02-16T02:09:00.000Z,"Pemilu 2024, paslon 1 & 3 laksana PPP & PDI melawan Golkar (Pemerintahan Soeharto) di Pemilu era Orba. Saat itu apa yg tidak dikondisikan Negara utk kemenangan Golkar.",
Aksi Aipda Ralon Gendong Nenek 93 Tahun ke TPS untuk Nyoblos Pemilu 2024,VivaCoid,0,0,1,2024-02-16T01:16:04.000Z,Aksi Aipda Ralon Gendong Nenek 93 Tahun ke TPS untuk Nyoblos Pemilu 2024,
Kecurangan di pemilu 2024 adalah kecurangan yg paling GILA dalam sejarah Indonesia.,D'dorja98,0,0,0,2024-02-16T01:07:48.000Z,Kecurangan di pemilu 2024 adalah kecurangan yg paling GILA dalam sejarah Indonesia.,
"Anggota Bawaslu Lolly Suhenty menegaskan Sirekap bukan penentu hasil Pemilu 2024. 

Lolly juga menyarankan agar KPU segera memperbaiki Sirekap agar tidak menimbulkan ketidakpercayaan publik.

Tonton selengkapnya: https://m.antaranews.com/video/3966912/bawaslu-sarankan-kpu-segera-perbaiki-sirekap?utm_source=antaranews&utm_medium=mobile&utm_campaign=latest_category",antaranews.com,0,6,9,2024-02-16T01:35:00.000Z,Anggota Bawaslu Lolly Suhenty menegaskan Sirekap bukan penentu hasil Pemilu 2024.   Lolly juga menyarankan agar KPU segera memperbaiki Sirekap agar tidak menimbulkan ketidakpercayaan publik.  Tonton selengkapnya: ,
"Selamat pagi P People. 

Gimana, happy nggak sama hasil Pemilu 2024?",infoPontianak #Lebihbaik,2,1,0,2024-02-16T01:46:35.000Z,"Selamat pagi P People.   Gimana, happy nggak sama hasil Pemilu 2024?",
"Kao Utara, HALMAHERA UTARA, MALUKU UTARA.

oooo begini yaa 
@KPU_ID
 
@bawaslu_RI
 

Yuk perbaiki, kopi ada kan? 

#Pemilu2024",J͓̊o͓̊k͓̊e͓̊r͓̊ Ů͓l͓̊o͓̊s͓̊o͓̊ẘ͓o͓̊,0,3,0,2024-02-16T01:45:56.000Z,"Kao Utara, HALMAHERA UTARA, MALUKU UTARA.  oooo begini yaa           Yuk perbaiki, kopi ada kan?    ",
"Cek Kesehatan Personil Polri dan Petugas TPS Pemilu 2024, Kapolres Pinrang Bagikan Vitamin

Pinrang - Kapolres Pinrang AKBP Andiko Wicaksono,S.I.K, melaksanakan bakti kesehatan untuk para petugas Pemilihan Umum (Pemilu) 2024 di wilayah hukumnya, Kamis (15/2/2024).

Kapolres,-",POLSEK TANASITOLO POLRES WAJO,0,0,0,2024-02-16T01:55:53.000Z,"Cek Kesehatan Personil Polri dan Petugas TPS Pemilu 2024, Kapolres Pinrang Bagikan Vitamin  Pinrang - Kapolres Pinrang AKBP Andiko Wicaksono,S.I.K, melaksanakan bakti kesehatan untuk para petugas Pemilihan Umum (Pemilu) 2024 di wilayah hukumnya, Kamis (15/2/2024).  Kapolres,-",
Daftar Petugas KPPS Meninggal Dunia pada Pemilu 2024,IDN Times,0,0,0,2024-02-16T01:14:33.000Z,Daftar Petugas KPPS Meninggal Dunia pada Pemilu 2024,
Purnomo polisi Belajar Baik membuka layanan dan pengobatan gratis bagi caleg yang gagal menduduki kursi di Parlemen di Pemilu 2024.,Celahid,0,0,1,2024-02-16T02:20:27.000Z,Purnomo polisi Belajar Baik membuka layanan dan pengobatan gratis bagi caleg yang gagal menduduki kursi di Parlemen di Pemilu 2024.,
adanya #pemilu2024 ini gue jd tau kalo beberapa org memang ga bisa nerima kebenaran yang ada sangking ga bisa nerima nya tuh otaknya nolak dan berakhir ngatain itu sebuah hal yg buruk. how it can be? RIP.,nannaä,0,0,0,2024-02-16T01:36:00.000Z,adanya   ini gue jd tau kalo beberapa org memang ga bisa nerima kebenaran yang ada sangking ga bisa nerima nya tuh otaknya nolak dan berakhir ngatain itu sebuah hal yg buruk. how it can be? RIP.,
"Sukseskan Pemilu

#Pemilu2024
#PemiluDamai2024",Schatzli Cuizon,0,0,0,2024-02-16T01:15:51.000Z,Sukseskan Pemilu     ,
Selain Etik Catatan (BURUK) Teknik di Pemilu 2024,Repelita Online,0,0,0,2024-02-16T02:08:28.000Z,Selain Etik Catatan (BURUK) Teknik di Pemilu 2024,
"Kalo seperti ini kasusnya,
Mendingan di Ulang saja Pemilu 2024 Ini.
Jangan lagi mikir penghematan uang negara. 
Untuk mendapat pemimpin yang sesuai dengan pilihan rakyat.

Kami rela pemilu ulang.

Apalagi uangnya kan uang kami juga.",Cahaya Pikiran,0,0,2,2024-02-16T02:02:35.000Z,"Kalo seperti ini kasusnya, Mendingan di Ulang saja Pemilu 2024 Ini. Jangan lagi mikir penghematan uang negara.  Untuk mendapat pemimpin yang sesuai dengan pilihan rakyat.  Kami rela pemilu ulang.  Apalagi uangnya kan uang kami juga.",
