text,author,reply,retweet,like,date,cleaned_text,non_baku,label,text_length
Aksi Aipda Ralon Gendong Nenek 93 Tahun ke TPS untuk Nyoblos Pemilu 2024,VivaCoid,0,0,1,2024-02-16T01:16:04.000Z,Aksi Aipda Ralon Gendong Nenek 93 Tahun ke TPS untuk Nyoblos Pemilu 2024,,neutral,13
Kecurangan di pemilu 2024 adalah kecurangan yang paling GILA dalam sejarah Indonesia.,D'dorja98,0,0,0,2024-02-16T01:07:48.000Z,Kecurangan di pemilu 2024 adalah kecurangan yang paling GILA dalam sejarah Indonesia.,,negative,12
"Selamat pagi P People. 

Gimana, happy nggak sama hasil Pemilu 2024?",infoPontianak #Lebihbaik,2,1,0,2024-02-16T01:46:35.000Z,"Selamat pagi P People.   Gimana, happy nggak sama hasil Pemilu 2024?",,negative,11
"Kao Utara, HALMAHERA UTARA, MALUKU UTARA.

oooo begini yaa 
@KPU_ID
 
@bawaslu_RI
 

Yuk perbaiki, kopi ada kan? 

#Pemilu2024",J͓̊o͓̊k͓̊e͓̊r͓̊ Ů͓l͓̊o͓̊s͓̊o͓̊ẘ͓o͓̊,0,3,0,2024-02-16T01:45:56.000Z,"Kao Utara, HALMAHERA UTARA, MALUKU UTARA.  oooo begini yaa           Yuk perbaiki, kopi ada kan?",,neutral,14
Daftar Petugas KPPS Meninggal Dunia pada Pemilu 2024,IDN Times,0,0,0,2024-02-16T01:14:33.000Z,Daftar Petugas KPPS Meninggal Dunia pada Pemilu 2024,,neutral,8
"Sukseskan Pemilu

#Pemilu2024
#PemiluDamai2024",Schatzli Cuizon,0,0,0,2024-02-16T01:15:51.000Z,Sukseskan Pemilu,,positive,2
Selain Etik Catatan (BURUK) Teknik di Pemilu 2024,Repelita Online,0,0,0,2024-02-16T02:08:28.000Z,Selain Etik Catatan (BURUK) Teknik di Pemilu 2024,,negative,8
"mampus kalian pendukung all in kemakan janji manies 

Cerai
Nasdem
Bawaslu
Ganjar
#Pemilu2024 hTetaps://x.com/tvOneNews/stat/tvOneNews/status/1758114746442895403",IbnIsmael,0,0,0,2024-02-16T01:44:53.000Z,mampus kalian pendukung all in kemakan janji manies Cerai Nasdem Bawaslu Ganjar,,negative,12
"Pasangan Calon Presiden 01 & 03.
Langsung Deklarasikan Tolak Hasil Pemilu 2024, dan Minta di Lakukan Audit Server KPU",Didi,0,0,0,2024-02-16T01:52:37.000Z,"Pasangan Calon Presiden 01 & 03. Langsung Deklarasikan Tolak Hasil Pemilu 2024, dan Minta di Lakukan Audit Server KPU",,neutral,19
"Pemilu 2024 Tersadis!!! Terstruktur, Sistematis & Masif
Gusti ora sare!!!.",Robby Warukapas,2,0,5,2024-02-16T01:19:21.000Z,"Pemilu 2024 Tersadis!!! Terstruktur, Sistematis & Masif Gusti ora sare!!!.",,negative,10
"Malah cuci tangan

#Pemilu2024",Bayu,2,0,1,2024-02-16T02:09:00.000Z,Malah cuci tangan,,negative,3
"hTetaps://cnbcindonesia.com/news/20190527194828-4-75370/tim-prabowo-sebut-175-juta-daftar-pemilih-tetap-bermasalah

hTetaps://m.tribunnews.com/mata-lokal-memilih/2024/01/19/sambangi-kpu-timnas-amin-bawa-data-54-juta-dpt-diduga-bermasalah

#Pemilu2024 rip demokrasi abah oposisi bawaslu",Akhmad Zakir,0,0,2,2024-02-16T01:15:59.000Z,rip demokrasi abah oposisi bawaslu,,negative,5
Saat ini pemilu 2024 tengah memasuki masa rekapitulasi penghitungan suara.,Kompas.com,0,0,0,2024-02-16T02:23:05.000Z,Saat ini pemilu 2024 tengah memasuki masa rekapitulasi penghitungan suara.,,neutral,10
"Mantap Pengamanan Pemilu 2024, Bravo Polri",ndra,0,0,0,2024-02-16T01:41:48.000Z,"Mantap Pengamanan Pemilu 2024, Bravo Polri",,neutral,6
Ganjar tetap dihati #Pemilu #Pemilu2024,Orang Bogor,0,0,1,2024-02-16T01:17:35.000Z,Ganjar tetap dihati,,neutral,3
